Species	Category	Count	Coverage	Coverage_percent
Rtricholoma	RC	391	413623	.711
Rtricholoma	Retroposon	0	0	0
Rtricholoma	SINE	42	10464	.017
Rtricholoma	Uncertain	134	24625	.042
Rtricholoma	Unknown	10720	6835722	11.754
Rvesca	DNA	2937	3295133	5.980
Rvesca	LINE	1600	2420147	4.392
Rvesca	LTR	4668	9533754	17.303
Rvesca	PLE	37	35145	.063
Rvesca	RC	214	218076	.395
Rvesca	Retroposon	0	0	0
Rvesca	SINE	8	1426	.002
Rvesca	Uncertain	104	16287	.029
Rvesca	Unknown	15317	13399764	24.319
Slamellicola	DNA	97	21979	.076
Slamellicola	LINE	100	88729	.309
Slamellicola	LTR	137	46765	.162
Slamellicola	PLE	2	265	0
Slamellicola	RC	46	15088	.052
Slamellicola	Retroposon	5	1133	.003
Slamellicola	SINE	0	0	0
Slamellicola	Uncertain	86	12146	.042
Slamellicola	Unknown	866	239715	.835
Sminoensis	DNA	336	160391	.435
Sminoensis	LINE	254	446797	1.213
Sminoensis	LTR	2127	6018231	16.345
Sminoensis	PLE	10	3884	.010
Sminoensis	RC	260	142084	.385
Sminoensis	Retroposon	0	0	0
Sminoensis	SINE	10	2080	.005
Sminoensis	Uncertain	120	16398	.044
Sminoensis	Unknown	4537	2900271	7.877
Tcingulatum	DNA	3132	3941967	8.748
Tcingulatum	LINE	660	1021344	2.266
Tcingulatum	LTR	4827	6374504	14.147
Tcingulatum	PLE	20	6205	.013
Tcingulatum	RC	563	874453	1.940
Tcingulatum	Retroposon	0	0	0
Tcingulatum	SINE	11	1790	.003
Tcingulatum	Uncertain	98	14172	.031
Tcingulatum	Unknown	10147	8384424	18.608
Themisulphureum	DNA	12093	11019257	8.600
Themisulphureum	LINE	2397	3415096	2.665
Themisulphureum	LTR	33122	44353891	34.617
Themisulphureum	PLE	39	14195	.011
Themisulphureum	RC	3737	2983246	2.328
Themisulphureum	Retroposon	0	0	0
Themisulphureum	SINE	411	117656	.091
Themisulphureum	Uncertain	379	66702	.052
Themisulphureum	Unknown	43059	33180572	25.897
Tpullulans	DNA	92	26016	.111
Tpullulans	LINE	310	611020	2.617
Tpullulans	LTR	506	660965	2.831
Tpullulans	PLE	2	287	.001
Tpullulans	RC	48	22424	.096
Tpullulans	Retroposon	0	0	0
Tpullulans	SINE	51	31237	.133
Tpullulans	Uncertain	311	43321	.185
Tpullulans	Unknown	1633	627460	2.688
Udeusta	DNA	1246	1311201	3.373
Udeusta	LINE	827	1332767	3.429
Udeusta	LTR	3545	7379438	18.988
Udeusta	PLE	355	159913	.411
Udeusta	RC	482	735528	1.892
Udeusta	Retroposon	2	229	0
Udeusta	SINE	18	2495	.006
Udeusta	Uncertain	492	77698	.199
Udeusta	Unknown	5216	2223395	5.721
Vsurrecta	DNA	268	112798	.404
Vsurrecta	LINE	111	107390	.385
Vsurrecta	LTR	787	796973	2.861
Vsurrecta	PLE	11	2334	.008
Vsurrecta	RC	137	65076	.233
Vsurrecta	Retroposon	0	0	0
Vsurrecta	SINE	9	1585	.005
Vsurrecta	Uncertain	82	10823	.038
Vsurrecta	Unknown	2733	1280900	4.598
